,0
761,BCOR
762,BCORL1
763,BCR
764,BCS1L
765,BDH1
766,BDH2
767,BDNF
768,BDP1
769,BECN1
770,BEND6
771,BEST1
772,BET1
773,BET1L
774,BEX2
775,BEX4
776,BFAR
777,BGLAP
778,BHLHA15
779,BHLHA9
780,BHLHE22
781,BHLHE23
782,BHLHE40
783,BHLHE41
784,BICD1
785,BICD2
786,BID
787,BIN1
788,BIN3
789,BIRC2
790,BIRC5
791,BIRC6
792,BIVM
793,BLCAP
794,BLM
795,BLMH
796,BLOC1S1
797,BLOC1S2
798,BLOC1S3
799,BLOC1S4
800,BLOC1S5
801,BLOC1S6
802,BLVRA
803,BLVRB
804,BLZF1
805,BMI1
806,BMP1
807,BMP2K
808,BMPER
809,BMPR2
810,BMS1
811,BNC1
812,BNC2
813,BNIP1
814,BNIP2
815,BNIP3
816,BNIP3L
817,BOD1
818,BOD1L1
819,BOLA1
820,BOLA2
821,BOLA3
822,BOP1
823,BORA
824,BPGM
825,BPHL
826,BPNT1
827,BPTF
828,BRAF
829,BRAP
830,BRAT1
831,BRCA1
832,BRCA2
833,BRCC3
834,BRD1
835,BRD2
836,BRD3
837,BRD4
838,BRD7
839,BRD8
840,BRD9
841,BRF1
842,BRF2
843,BRI3
844,BRI3BP
845,BRIP1
846,BRIX1
847,BRK1
848,BRMS1
849,BRMS1L
850,BROX
851,BRPF1
852,BRPF3
853,BRWD1
854,BRWD3
855,BSCL2
856,BSDC1
857,BSG
858,BST2
859,BSX
860,BTAF1
861,BTBD1
862,BTBD10
863,BTBD2
864,BTBD3
865,BTBD7
866,BTF3
867,BTF3L4
868,BTG1
869,BTG2
870,BTG3
871,BTK
872,BTN2A1
873,BTN2A2
874,BTN3A2
875,BTNL9
876,BUB1
877,BUB1B
878,BUB3
879,BUD13
880,BUD23
881,BUD31
882,BYSL
883,BZW1
884,BZW2
885,C10orf88
886,C11orf1
887,C11orf24
888,C11orf49
889,C11orf54
890,C11orf68
891,C11orf71
892,C11orf74
893,C11orf80
894,C11orf95
895,C12orf29
896,C12orf4
897,C12orf43
898,C12orf45
899,C12orf49
900,C12orf57
901,C12orf60
902,C12orf65
903,C12orf73
904,C14orf119
905,C14orf93
906,C15orf39
907,C15orf40
908,C15orf41
909,C15orf61
910,C16orf58
911,C16orf70
912,C16orf72
913,C16orf87
914,C16orf91
915,C17orf49
916,C17orf53
917,C17orf58
918,C17orf75
919,C17orf80
920,C17orf99
921,C18orf25
922,C18orf32
923,C19orf12
924,C19orf25
925,C19orf26
926,C19orf47
927,C19orf73
928,C1D
929,C1GALT1
930,C1GALT1C1
931,C1QBP
932,C1QTNF4
933,C1RL
934,C1orf109
935,C1orf112
936,C1orf131
937,C1orf159
938,C1orf174
939,C1orf198
940,C1orf216
941,C1orf35
942,C1orf43
943,C1orf50
944,C1orf52
945,C1orf56
946,C20orf203
947,C20orf27
948,C21orf91
949,C22orf39
950,C2CD2
951,C2CD2L
952,C2CD3
953,C2orf42
954,C2orf49
955,C2orf68
956,C2orf69
957,C2orf76
958,C2orf88
959,C3orf33
960,C3orf38
961,C3orf72
962,C4orf3
963,C4orf33
964,C4orf46
965,C4orf48
966,C5orf15
967,C5orf22
968,C5orf24
969,C5orf30
970,C5orf51
971,C6orf120
972,C6orf15
973,C6orf203
974,C6orf47
975,C6orf89
976,C7orf50
977,C8orf33
978,C9orf16
979,C9orf64
980,C9orf78
981,CA11
982,CA5A
983,CA8
984,CAAP1
985,CAB39
986,CAB39L
987,CABIN1
988,CACNB3
989,CACTIN
990,CACUL1
991,CACYBP
992,CAD
993,CADM4
994,CALB1
995,CALCOCO1
996,CALCOCO2
997,CALM1
998,CALM2
999,CALM3
1000,CALML4
1001,CALR
1002,CALU
1003,CAMK1
1004,CAMK2G
1005,CAMKK2
1006,CAMKMT
1007,CAMLG
1008,CAMSAP1
1009,CAMTA1
1010,CAMTA2
1011,CAND1
1012,CANT1
1013,CANX
1014,CAP1
1015,CAPG
1016,CAPN1
1017,CAPN10
1018,CAPN15
1019,CAPN2
1020,CAPN7
1021,CAPNS1
1022,CAPRIN1
1023,CAPZA1
1024,CAPZA2
1025,CAPZB
1026,CARD11
1027,CARD8
1028,CARD9
1029,CARF
1030,CARHSP1
1031,CARM1
1032,CARMIL1
1033,CARS
1034,CARS2
1035,CASC3
1036,CASC4
1037,CASP10
1038,CASP2
1039,CASP3
1040,CASP6
1041,CASP7
1042,CASP8
1043,CASP8AP2
1044,CASP9
1045,CASS4
1046,CAST
1047,CASZ1
1048,CAT
1049,CAV2
1050,CAVIN1
1051,CBFA2T2
1052,CBFA2T3
1053,CBFB
1054,CBL
1055,CBLL1
1056,CBLL2
1057,CBLN1
1058,CBR1
1059,CBR4
1060,CBS
1061,CBWD1
1062,CBX1
1063,CBX2
1064,CBX3
1065,CBX4
1066,CBX5
1067,CBX6
1068,CBX8
1069,CBY1
1070,CC2D1A
1071,CC2D1B
1072,CCAR1
1073,CCAR2
1074,CCDC106
1075,CCDC107
1076,CCDC112
1077,CCDC115
1078,CCDC116
1079,CCDC117
1080,CCDC12
1081,CCDC124
1082,CCDC125
1083,CCDC130
1084,CCDC136
1085,CCDC137
1086,CCDC14
1087,CCDC144A
